"Manuscript H-ID"	"Manuscript Record Title"	"repository_key (Organisation) H-ID"	"Organisation Record Title"	"repository_key (Organisation) Record Title"	idno	TEI_id	CMD
139917	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 539"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	539	d1e39898	A
139918	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11313"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11313"	d1e68357	A
139919	"Paris, Bibliothèque Mazarine, 1743"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	1743	d1e80208	A
139920	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10478"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10478"	d1e160833	X
139921	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 211"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 211"	d1e24527	A
139922	"Aix-en-Provence, Bibliothèque municipale, 1069 - 992"	146408	"Aix-en-Provence, Bibliothèque municipale"	"Aix-en-Provence, Bibliothèque municipale"	1069	d1e26195	A
139923	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 4655"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	4655	d1e106850	B
139924	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7142"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7142"	d1e70873	A
139925	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10735"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10735"	d1e63865	A
139926	"Reims, Bibliothèque municipale, 1445"	146594	"Reims, Bibliothèque municipale"	"Reims, Bibliothèque municipale"	1445	d1e87281	A
139927	"Saint-Mihiel, Bibliothèque municipale, 38"	128669	"Saint-Mihiel, Bibliothèque municipale"	"Saint-Mihiel, Bibliothèque municipale"	38	d1e88772	A
139928	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7527"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7527"	d1e104884	B
139929	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11527"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11527"	d1e69715	A
139930	"Metz, Bibliothèque municipale, 325"	146538	"Metz, Bibliothèque municipale"	"Metz, Bibliothèque municipale"	325	d1e132976	B
139931	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 12295"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 12295"	d1e163195	X
139932	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 5785"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 5785"	d1e54396	A
139933	"Épinal, Bibliothèque municipale, 8 - 108"	146495	"Épinal, Bibliothèque municipale"	"Épinal, Bibliothèque municipale"	8	d1e160447	X
139934	"Lyon, Bibliothèque municipale, 643"	128709	"Lyon, Bibliothèque municipale"	"Lyon, Bibliothèque municipale"	643	d1e61300	A
139935	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 16231"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 16231"	d1e103050	A
139936	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7822"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7822"	d1e75724	A
139937	"Lyon, Bibliothèque municipale, 744"	128709	"Lyon, Bibliothèque municipale"	"Lyon, Bibliothèque municipale"	744	d1e61895	A
139938	"Lyon, Musée des Arts décoratifs, 33"	146526	"Lyon, Musée des Arts décoratifs"	"Lyon, Musée des Arts décoratifs"	33	d1e64312	A
139939	"Metz, Bibliothèque municipale, 1267"	146538	"Metz, Bibliothèque municipale"	"Metz, Bibliothèque municipale"	1267	d1e72432	A
139940	"Paris, Bibliothèque Sainte-Geneviève, 2440"	146574	"Paris, Bibliothèque Sainte-Geneviève"	"Paris, Bibliothèque Sainte-Geneviève"	2440	d1e91177	A
139941	"Lyon, Bibliothèque municipale, 288"	128709	"Lyon, Bibliothèque municipale"	"Lyon, Bibliothèque municipale"	288	d1e58910	A
139942	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 13143"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 13143"	d1e163861	X
139943	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8288"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8288"	c3d1e40234	A
139944	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 6714"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 6714"	c2d1e66169	A
139945	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 5925A"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 5925A"	d1e56491	A
139946	"Strasbourg, Bibliothèque municipale, 1036"	128672	"Strasbourg, Bibliothèque municipale"	"Strasbourg, Bibliothèque municipale"	1036	d1e96716	A
139947	"Colmar, Bibliothèque municipale, 249"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	249	d1e59203	A
139948	"Colmar, Bibliothèque municipale, 13"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	13	d1e55143	A
139949	"Troyes, Médiathèque du Grand Troyes, 166"	128675	"Troyes, Médiathèque du Grand Troyes"	"Troyes, Médiathèque du Grand Troyes"	166	d1e144266	B
139950	"Besançon, Bibliothèque municipale, 1168"	146446	"Besançon, Bibliothèque municipale"	"Besançon, Bibliothèque municipale"	1168	d1e154773	X
139951	"Lyon, Bibliothèque municipale, 128"	128709	"Lyon, Bibliothèque municipale"	"Lyon, Bibliothèque municipale"	128	d1e99441	B
139952	"Tours, Bibliothèque municipale, 332"	146630	"Tours, Bibliothèque municipale"	"Tours, Bibliothèque municipale"	332	d1e123458	B
139953	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 13420"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 13420"	d1e165095	X
