Manuscript H-ID	Manuscript Record Title	repository_key (Organisation) H-ID	Organisation Record Title	repository_key (Organisation) Record Title	idno	TEI_id	CMD	fichier_source	CMD_Vol_ar	CMD_Vol
140645	Chantilly, Bibliothèque et archives du musée Condé, 422 - 979	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	422	d1e97991	B	modified_CMDF_1enr.xml	1	I
133590	Chantilly, Bibliothèque et archives du musée Condé, 428 - 912	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	428	d1e25557	A	modified_CMDF_1enr.xml	1	I
138112	Chantilly, Bibliothèque et archives du musée Condé, 434 - 886	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	434	d1e25653	A	modified_CMDF_1enr.xml	1	I
138113	Chantilly, Bibliothèque et archives du musée Condé, 445 - 945	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	445	d1e25759	A	modified_CMDF_1enr.xml	1	I
138114	Chantilly, Bibliothèque et archives du musée Condé, 446 - 1631	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	446	d1e25875	A	modified_CMDF_1enr.xml	1	I
138115	Chantilly, Bibliothèque et archives du musée Condé, 447 - 1625	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	447	d1e25996	A	modified_CMDF_1enr.xml	1	I
141927	Chantilly, Bibliothèque et archives du musée Condé, 450 - 1619	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	450	d1e132912	X	modified_CMDF_1enr.xml	1	I
134428	Chantilly, Bibliothèque et archives du musée Condé, 455 - 1435	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	455	d1e26100	A	modified_CMDF_1enr.xml	1	I
138163	Chantilly, Bibliothèque et archives du musée Condé, 456 - 1539	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	456	d1e26220	A	modified_CMDF_1enr.xml	1	I
142038	Chantilly, Bibliothèque et archives du musée Condé, 470 - 703	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	470	d1e132951	X	modified_CMDF_1enr.xml	1	I
